author,author_type,bake_time,calories,carb,carb_u,difficulty,dish_description,dish_name,fat,fat_u,image_count,ingredient_list,ingredient_quantity,ingredient_unit,prep_time,protein,protein_u,rating,rest_time,reviews_for_rating,servings,total_steps,user_likes,utensils,total_time
AngelLai,Community Member,0,,,,Medium,"This is a simple but delicious Japanese dish, learn to cook it and you’ll never regret!",Gyudon-Japanese beef bowl,,,3,"['beef', 'onion', 'ginger (grated)', 'soy sauce', 'mirin', 'rice wine', 'dashi', 'rice']","['15', '0.5', '1', '4', '1', '1', '1', '1']","['oz', 'tbsp', 'tbsp', 'tbsp', 'tbsp', 'cup', 'cup', '']",10,,,4.5,0,6.0,2,7.0,1277,,10
mitrut,Community Member,0,,,,Easy,"Very nice taste, very easy to prepare, friends will love it!",Fresh fish with provencal sauce,,,0,"['fish', 'tomatoes', 'black olives', 'onions', 'garlic', 'parsley', 'capers', 'white wine']","['500', '400', '80', '200', '80', '5', '20', '80']","['g', 'g', 'g', 'g', 'g', 'leaves', 'g', 'ml']",30,,,4.5,0,2.0,2,4.0,46,,30
Raphael Faitsch,Community Member,15,,,,Easy,"From my mum, probably created because of lack of ingredients. Weird but delicious. ",Savoy cabbage pasta,,,0,"['savoy cabbage', 'tagliatelle', 'vegetable broth', 'butter', 'breadcrumbs', 'hot paprika powder', 'sweet paprika powder', 'sour cream', 'lemon', 'ham']","['1', '250', '1', '2', '5', '1', '2', '100', '1', '200']","['head', 'g', 'tbsp', 'tbsp', 'tbsp', 'tsp', 'tbsp', 'g', 'g', '']",20,,,0.0,0,,2,5.0,40,,35
Green Falcon Cooking 👨🏽‍🍳🦅,Community Member,44,,,,Medium,Best served slightly warmed and with a small portion of salad of your choice,Ham and Tomato Quiche,,,0,"['Small Brown Onion', 'Cheery Tomato ', 'Egg ', 'Milk', 'Ham', 'Savoury Short Pastry', 'Salt and Pepper', 'Flour']","['1', '150', '5', '375', '100', '250', '2', '50']","['g', 'ml', 'g', 'g', 'dashes', 'g', '', '']",15,,,5.0,5,2.0,6,10.0,254,,64
Willem Mertens,Community Member,0,,,,Easy,"The salad is designed for a picnic, but is also delicious with a barbecue. This recipe is easy to prepare, the amount of ingredients isn’t critical and is easy to adjust to your liking. For example try peach instead of mango. Or add a few drops of sushi vinegar.",Chicken mango salad,,,0,"['chicken breast cooked and cooled ', 'mango (ripe)', 'leek', 'red bell pepper', 'spring union', 'red chilli pepper', 'fresh ginger', 'garlic (grated)', 'baby leaf lettuce', 'lime juice']","['200', '1', '1', '1', '3', '1', '4', '1', '2', '5']","['g', 'stalk', 'g', 'clove', 'heads', 'dashes', '', '', '', '']",25,,,0.0,30,,2,,116,"['cutting board', 'knife', 'bowl', 'salad servers']",55
Bianca Targão,Community Member,45,,,,Medium,"It's my favourite pie in the world, easy to do and everybody loves it",Grandma's Chicken Pie,,,0,"['flour', 'eggs', 'butter', 'oil', 'baking soda', 'milk', 'salt', 'chicken breasts', 'hard boiled eggs']","['4.5', '2', '2', '2', '2', '1.25', '1', '600', '2']","['tbsp', 'tbsp', 'tsp', 'pinch', 'g', '', '', '', '']",50,,,0.0,15,,12,5.0,83,['rolling pin'],110
Saga,Community Member,12,,,,Easy,"I make this pizza when I want to make something quick and easy, but GOOD. I made this pizza from my mind som you maybe have to add some flour or water or something!",Home-Made Pizza,,,1,"['flour', 'baking powder', 'salt', 'water', 'olive oil', 'pizza sauce', 'cheese', 'red onion', 'ham']","['180.0', '1.0', '0.25', '120.0', '22.5', '0.0', '0.0', '0.0', '0.0']","['g', 'tsp', 'tsp', 'g', 'g', '', '', '', '']",15,,,0.0,0,,2,8.0,122,,27
Nour.H,Community Member,45,,,,Medium,"This smoked almond flavour, with this crunchy, crispy chicken skin will make you fall in love with this dish.",Crispy skin Chicken with smoked almond sauce,,,0,"['Smoked Almonds', 'honey', 'coconut oil', 'butter (for almond sauce)', 'heavy cream', 'Chicken breast with skin on', 'Seasoning salt (mix of herbs and salt)', 'Minced garlic', 'Baby carrots ', 'Baby eggplants', 'Baby potatoes ', 'rosemary', 'Butter ( for chicken)', 'Salt and pepper ']","['200.0', '2.0', '6.0', '30.0', '20.0', '1.0', '2.0', '6.0', '2.0', '2.0', '1.0', '30.0', '0.0', '0.0']","['g', 'tbsp', 'tbsp', 'g', 'cl', 'cloves', 'sprig', 'g', '', '', '', '', '', '']",20,,,0.0,10,,1,4.0,137,"['food processor', 'nonstick pan', ' baking pan', 'whisk']",75
Yannis,Community Member,0,,,,Easy,"If you feel like the soup is too thick, just add more vegetable stock.",Traditional potato soup,,,2,"['waxy potato', 'bouquet garni', 'parsley', 'onion', 'vegetable broth', 'bacon', 'German hunter sausage', 'crème fraîche', 'salt', 'pepper']","['1', '1', '15', '1', '1', '100', '150', '1', '1', '1']","['kg', 'package', 'g', 'l', 'g', 'g', 'tbsp', 'pinch', 'pinch', '']",40,,,5.0,0,2.0,6,9.0,379,"['2 knives', 'Brett', 'cutting board', 'Pfanne', 'Pürierstab']",40
Green Falcon Cooking 👨🏽‍🍳🦅,Community Member,70,,,,Easy,Serve warm and a small leafy salad. Design your own pie topper on top of the top layer of pastry and make it a work of art and unique to you,Homestyle Mince and Vegetable Pie,,,0,"['Pie Ingredients:', 'Onion', 'Garden Peas', 'Sweet Corn Kernels', 'Carrot', 'Salt and Pepper', 'Rich Meat Gravy Packet', 'Premium Beef Mincemeat', 'Savoury Short Pastry', 'Egg Wash Ingredients:', 'Egg', 'Milk']","['1.0', '100.0', '100.0', '1.0', '2.0', '2.0', '500.0', '500.0', '1.0', '1.0', '0.0', '0.0']","['g', 'g', 'dashes', 'g', 'g', 'dash', '', '', '', '', '', '']",15,,,0.0,5,,8,9.0,90,,90
Xueci Cheng,Associate Food Editor at Kitchen Stories,0,,,,Easy,"Fiery and numbing Sichuan spicy wontons (Hong You Chao Shou) are just addictive. If you are not a big fan of spicy food, tune down the chili oil or add some beef stock soup. I recommend chili oil with crisp (e.g. Lao Gan Ma), or even better, homemade. This recipe makes approx. 50 pieces of wonton, which can be frozen and last up to 1 month. The amount of chili sauce is measured for each bowl.",Sichuan-style spicy wontons,,,2,"['ground pork', 'wonton wrappers', 'scallions', 'ginger', 'egg', 'soy sauce', 'oyster sauce', 'Shaoxing wine', 'toasted sesame oil', 'white pepper', 'sugar', 'salt', 'chili oil', 'garlic', 'dark rice vinegar', 'toasted sesame oil', 'soy sauce', 'Sichuan pepper powder', 'brown sugar', 'salt', 'scallion (for garnish)', 'cilantro (for garnish)', 'water']","['500.0', '400.0', '4.0', '1.0', '1.0', '2.0', '2.0', '1.0', '2.0', '0.5', '0.5', '0.5', '2.0', '1.0', '1.0', '1.0', '1.0', '0.25', '0.5', '0.0', '0.0', '0.0', '0.0']","['g', 'g', 'tbsp', 'tbsp', 'tbsp', 'tbsp', 'tsp', 'tsp', 'tsp', 'tsp', 'clove', 'tsp', 'tsp', 'tsp', 'tsp', '', '', '', '', '', '', '', '']",60,,,5.0,0,6.0,50,5.0,778,"['cutting board', 'knife', 'bowl (large)', 'chopsticks', 'pot', 'resealable freezer bag']",60
Margaux Capo,Community Member,5,,,,Easy,The baking time may vary depending on the pasta you chose!,Roquefort cheese pasta,,,2,"['blue cheese', 'pasta', 'cream', 'Serrano ham', 'nuts']","['60', '200', '150', '100', '30']","['g', 'g', 'ml', 'g', 'g']",5,,,4.5,0,2.0,2,2.0,425,,10
Asta,Community Member,0,,,,Medium,"Although it uses both the oven and the blender, this isn't very difficult nor very messy. If you can't find orange bell peppers, mix red and yellow ones. Frozen shrimp also work for this recipe and they do not need to have thawed beforehand. Good luck!",Pasta with Roasted Bell Pepper and Shrimp Sauce,,,1,"['orange bell peppers', 'shrimp', 'pasta', 'garlic', 'butter', 'chili flakes', 'smoked paprika powder', 'olive oil', 'salt', 'black pepper', 'grated Parmesan cheese', 'parsley']","['3.0', '150.0', '250.0', '4.0', '30.0', '0.5', '0.5', '40.0', '0.0', '0.0', '0.0', '0.0']","['g', 'g', 'cloves', 'g', 'tsp', 'tsp', 'g', '', '', '', '', '']",35,,,4.5,0,2.0,2,5.0,119,"['baking sheet', '2 knives', 'blender', 'pot', 'frying pan', 'tongs']",35
Gary Pollard,Community Member,30,,,,Medium,"An easy, punchy, gorgeously warming dish that is perfect for a winter evening. As it’s packed with veggies and low on processed carbs, it’s also not too heavy. Feel free to roast any veggies you like to add to this bake. The roux used in this dish is really reliable and would work well in any creamy pasta bake.",Broccoli & Cauliflower Cheese,,,2,"['cauliflower', 'broccoli', 'olive oil', 'spinach', 'panko breadcrumbs', 'chives (for garnish)', 'salad (for serving)', 'butter', 'plain flour', 'unsweetened plant-based milk', 'cheese', 'nutritional yeast', 'pickled jalapeños', 'garlic powder', 'smoked paprika powder', 'english mustard']","['1.0', '1.0', '1.5', '100.0', '50.0', '200.0', '50.0', '50.0', '700.0', '200.0', '25.0', '30.0', '1.5', '0.25', '2.5', '0.0']","['head', 'head', 'tsp', 'g', 'g', 'g', 'g', 'g', 'ml', 'g', 'g', 'g', 'tsp', 'tsp', 'tsp', '']",10,,,5.0,0,1.0,4,6.0,122,"['baking tray', 'whisk', 'saucepan', 'wooden spoon', 'baking dish']",40
Margaux Capo,Community Member,15,,,,Easy,"You can eat it cold or hot! For a quicker bake, you can use frozen green beans and cook them in the microwave (3mn instead of 15mn). Don’t hesitate to add some pomegranate seeds for more freshness and colours!",Chicken Avocado Bowl,,,0,"['einkorn wheat berries', 'chicken breasts', 'feta cheese', 'green beans', 'avocado', 'lemon', 'olive oil']","['150.0', '350.0', '100.0', '100.0', '1.0', '0.5', '0.0']","['g', 'g', 'g', 'g', '', '', '']",5,,,4.0,0,1.0,2,7.0,342,,20
Carsten,Community Member,45,,,,Medium,This is Borscht that I stole of a video from YouTube. The grandma looked nice and I couldn’t understand anything she was saying because it was ukrainen. That’s all I have to say about my stolen grandma recipe 🙂 - CDS,Borscht with chicken,,,0,"['carrots', 'red beets', 'chicken breasts', 'water', 'cabbages', 'oil', 'salt', 'pepper', 'shallots', 'oil', 'tomato paste', 'potatoes', 'dill', 'sour cream', 'apple cider vinegar']","['100', '340', '400', '4', '250', '2', '4', '1', '100', '1', '3', '450', '2', '1', '1']","['g', 'g', 'g', 'l', 'g', 'tbsp', 'g', 'pinch', 'g', 'tbsp', 'tbsp', 'g', 'g', 'tbsp', 'tbsp']",30,,,5.0,5,1.0,2,20.0,43,"['2 graters', '5 knives', '5 pots', '3 frying pans', 'Tastebuds']",80
Harvey,Community Member,15,,,,Medium,This versatile dish is great to start off a luxurious Italian meal that is perfect for all the family.,Italian Rustic Starter Pizzas,,,0,"['Strong white bread flour', 'salt', 'Easy bake yeast', 'hand-hot water', 'canned whole peeled tomatoes', 'tomato purée', 'sugar', 'salt', 'garlic', 'olive oil', 'Garlic', 'butter', 'parsley', 'cherry tomatoes']","['200', '1', '1.5', '125', '397', '1.5', '1', '1', '2', '1', '2', '100', '4', '10']","['g', 'tsp', 'tsp', 'ml', 'g', 'tbsp', 'tsp', 'tsp', 'cloves', 'tbsp', 'cloves', 'g', 'tbsp', '']",20,,,4.0,100,1.0,2,6.0,64,"['4 bowls', 'sieve', '3 wooden spoons', 'frying pan', '2 garlic presses', 'knife']",135
Grace W. Song,Community Member,15,,,,Easy,,Grilled chicken wings,,,1,"['chicken wings', 'soy sauce', 'oyster sauce', 'pepper', 'yogurt', 'salt', 'honey']","['4', '0.5', '0.25', '0.5', '0.5', '0.5', '1']","['cup', 'cup', 'tbsp', 'cup', 'tbsp', 'tbsp', '']",10,,,5.0,2,1.0,4,3.0,101,,27
englishrecipe,Community Member,0,,,,Medium,This is a great Czech recipe for my mother and I apologize for the bad English.￼,Pork chop with own sauce,,,1,"['pork chop', 'onions', 'flour (smooth)', 'pepper', 'salt', 'hot watter', 'rice / potatoes']","['1.0', '2.0', '0.66666', '0.0', '0.0', '0.0', '0.0']","['kg', 'l', '', '', '', '', '']",20,,,0.0,45,,2,13.0,0,"['plank', 'mallet', 'bowl', 'pan']",65
Donald Yarad,Community Member,60,,,,Easy,This is one of my favourites for when I need a big hug in a bowl. It’s the best comfort food you could want on a cold winters night. Do try and let me know your thoughts.,Donnii’s Fresh Chicken Soup,,,0,"['chicken thighs', 'carrots', 'leeks', 'celery', 'onions', 'chorizo', 'parsley', 'rosemary', 'thyme']","['6', '2', '2', '4', '2', '1', '4', '4', '4']","['tsp', '', '', '', '', '', '', '', '']",30,,,0.0,5,,4,5.0,0,,95
Anna Marvulli,Community Member,0,,,,Easy,"This is my mother’s recepie, the milk makes the dough more soft and flexible",Pizza dough,,,0,"['Italian 00 flour', 'water', 'milk', 'extra-virgin olive oil', 'active dry yeast', 'salt', 'sugar']","['500', '200', '100', '20', '1', '10', '10']","['g', 'g', 'g', 'g', 'tea bag', 'g', 'g']",15,,,0.0,1,,3,5.0,1,['3 stand mixers with dough hooks'],16
二两以上,Community Member,0,694.0,15.0,g,Easy,"This is one of my mother's best dishes. As a child, I looked forward to eating this every summer. Today it’s one of my favorite summer dishes, simple and perfect for family dinners.",Chinese stuffed eggplant,47.0,g,1,"['eggplants', 'ground pork', 'green onions', 'ginger', 'egg', 'vegetable oil', 'light soy sauce (divided)', 'dark soy sauce', 'star anise', 'Sichuan peppercorns', 'green onion for garnish']","['3.0', '250.0', '4.0', '10.0', '1.0', '1.0', '4.0', '2.0', '1.0', '2.0', '0.0']","['g', 'g', 'tbsp', 'tbsp', 'tsp', 'tsp', '', '', '', '', '']",45,53.0,g,5.0,0,12.0,2,5.0,2671,"['fine grater', 'large bowl', 'cooking spoon', 'cutting board', 'knife', 'bamboo steamer and wok or steam pot', 'small bowl']",45
Lucy Reim,Community Member,10,1231.0,243.0,g,Easy,"Next time, I will try out sunflower seeds or poppy seeds instead of sesame on my pizza. Bon appétit!","Pizza with sweetcorn, olives, and feta",10.0,g,2,"['pizza dough (store-bought)', 'tomato sauce', 'sesame seeds', 'Gouda (grated)', 'feta', 'sweetcorn (drained)', 'onion', 'black olives', 'oregano', 'basil for garnish', 'flour for dusting']","['200.0', '80.0', '25.0', '40.0', '50.0', '150.0', '0.5', '12.0', '15.0', '0.0', '0.0']","['g', 'g', 'g', 'g', 'g', 'g', 'g', '', '', '', '']",15,40.0,g,3.5,0,7.0,1,6.0,2059,"['baking sheet', 'oven', 'parchment paper', 'rolling pin', 'pastry brush', 'sieve', 'cutting board', 'knife']",25
uteandorfer,Community Member,0,965.0,70.0,g,Medium,"Gorgonzola and pear—a wonderful combination! This recipe adds hearty bacon to the filling for these South Tyrolian dough pockets. You can do it, I promise!","Mezzelune with Gorgonzola, pear, and bacon",66.0,g,1,"['flour', 'rye flour', 'semolina', 'eggs', 'olive oil', 'water (optional)', 'bacon bits', 'pears (small)', 'Gorgonzola', 'pepper', 'salt', 'flour for dusting', 'butter (melted) for serving']","['150.0', '150.0', '50.0', '3.0', '3.0', '150.0', '3.0', '200.0', '0.0', '0.0', '0.0', '0.0', '0.0']","['g', 'g', 'g', 'tbsp', 'g', 'g', '', '', '', '', '', '', '']",55,24.0,g,4.5,20,7.0,4,4.0,1502,"['plastic wrap', 'large mixing bowl', 'stand mixer with dough hooks (optional)', 'small frying pan', 'cutting board', 'knife', 'small bowl', 'pastry brush', 'round cookie cutter or cup (8-cm/3-in.)', 'rolling pin', 'large pot']",75
Lucy Reim,Community Member,10,1141.0,94.0,g,Easy,I think my dad liked it as he asked for a second pizza.,"Pizza with capers, tuna, and olives",64.0,g,3,"['pizza dough (store-bought)', 'tomato sauce', 'Gouda (grated)', 'tuna (canned', ' drained)', 'onion', 'black olives', 'capers (drained)', 'oregano', 'basil for garnish', 'flour for dusting']","['200.0', '80.0', '80.0', '70.0', '0.5', '12.0', '30.0', '15.0', '0.0', '0.0']","['g', 'g', 'g', 'g', 'g', 'g', '', '', '', '']",15,46.0,g,4.0,0,10.0,1,6.0,1384,"['baking sheet', 'oven', 'parchment paper', 'rolling pin', 'sieve', 'cutting board', 'knife']",25
mike miner,Community Member,0,972.0,15.0,g,Medium,,Radicchio and halibut stew,71.0,g,0,"['halibut', 'radicchio', 'lemon', 'garlic', 'chicken broth', 'thyme', 'bacon', 'clams', 'butter', 'salt', 'pepper', 'parsley for garnish', 'bread for serving']","['220.0', '300.0', '1.0', '1.0', '950.0', '1.0', '120.0', '450.0', '20.0', '0.0', '0.0', '0.0', '0.0']","['g', 'g', 'clove', 'ml', 'sprig', 'g', 'g', 'g', '', '', '', '', '']",35,66.0,g,5.0,0,4.0,2,6.0,770,"['cutting board', 'knife', 'large pot', 'large frying pan', 'cooking spoon', 'spatula', 'ladle']",35
Anka,Community Member,0,518.0,66.0,g,Easy,"I like this recipe because it’s quick to make, packed with vitamins, and uses more than just the juice of the lemon.",Lemon and broccoli penne,17.0,g,6,"['broccoli', 'penne', 'garlic', 'red onions', 'almonds', 'lemon', 'cane sugar', 'Parmesan (grated)', 'oil for frying', 'chili powder', 'salt', 'pepper']","['500.0', '600.0', '1.0', '3.0', '40.0', '1.0', '1.0', '125.0', '0.0', '0.0', '0.0', '0.0']","['g', 'g', 'clove', 'g', 'tbsp', 'g', '', '', '', '', '', '']",30,26.0,g,3.5,0,25.0,4,5.0,3813,"['sieve', 'pot', 'cutting board', 'knife', 'small bowl', 'large frying pan', 'cooking spoon']",30
Alex G.,Community Member,0,594.0,74.0,g,Medium,,Tagliatelle with creamy mushroom sauce,23.0,g,4,"['tagliatelle (green', ' yellow)', 'dry-cured ham', 'mushrooms (e.g. champignons', ' porcini)', 'lemon (juice', ' divided)', 'butter (divided)', 'garlic', 'cream', 'beef stock', 'parsley', 'salt', 'pepper', 'basil for garnish', 'grated Parmesan cheese for serving']","['400.0', '100.0', '300.0', '0.5', '1.5', '1.0', '200.0', '150.0', '15.0', '0.0', '0.0', '0.0', '0.0']","['g', 'g', 'g', 'tbsp', 'clove', 'g', 'ml', 'g', '', '', '', '', '']",50,22.0,g,4.5,0,13.0,4,5.0,3816,"['sieve', 'pot', 'small bowl (optional)', 'citrus press', 'cutting board', 'knife', 'garlic press', 'cooking spoon', 'large frying pan', 'paper towels']",50
Fraeuleinchen,Community Member,0,585.0,21.0,g,Medium,"Galbi-Jjim is my all-time favorite dish. It’s a Korean braised meat dish made from beef or pork ribs, similar to goulash. As a child, I loved it when my mom made Galbi-Jjim for us.",Galbi-Jjim (Korean braised short ribs),40.0,g,12,"['pork ribs', 'onion', 'ginger (divided)', 'peppercorns', 'daikon radish', 'carrots', 'potatoes (floury)', 'spring onions', 'garlic', 'sesame', 'soy sauce', 'sugar', 'sesame oil', 'pepper', 'pine nuts', 'soy sauce', 'sugar', 'sesame oil', 'rice for serving', 'kimchi for serving']","['1.0', '1.0', '12.0', '5.0', '1.0', '200.0', '3.0', '3.0', '3.0', '2.0', '6.0', '3.0', '2.0', '0.5', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0']","['kg', 'g', 'g', 'cloves', 'tbsp', 'tbsp', 'tbsp', 'tbsp', 'tsp', 'tbsp', '', '', '', '', '', '', '', '', '', '']",120,34.0,g,5.0,0,11.0,6,7.0,2484,"['pot', 'paper towels', 'cutting board', 'knife', 'peeler', 'bowl', 'sieve']",120
zartrosa,Community Member,0,955.0,93.0,g,Easy,I like to surprise my partner with this dish when he returns from work. Let’s experiment in the kitchen! Do you have a recipe you’d like to publish on Kitchen Stories? Send it to community@kitchenstories.com,Pasta with mushrooms and truffle oil,52.0,g,8,"['tagliatelle', 'brown mushrooms', 'truffle oil', 'heavy cream', 'melting cheese', 'salt', 'pepper', 'olive oil for frying', 'Parmesan cheese for serving']","['250.0', '150.0', '2.0', '100.0', '100.0', '0.0', '0.0', '0.0', '0.0']","['g', 'g', 'tbsp', 'ml', 'g', '', '', '', '']",30,27.0,g,5.0,0,18.0,2,3.0,4109,"['saucepan', 'cooking spoon', 'frying pan', 'pot', 'colander', 'cutting board', 'knife', 'fine grater']",30
Sophie,Community Member,0,626.0,2.0,g,Easy,"When I was 14 years old, I first cooked this steak salad for my parents. It’s my own creation and we all love it.",Steak salad with mushrooms,35.0,g,10,"['beef filet', 'lamb’s lettuce', 'olive oil', 'honey', 'mustard', 'balsamic vinegar', 'water', 'button mushrooms', 'chili flakes', 'salt', 'pepper', 'olive oil for frying', 'Parmesan cheese for serving']","['500.0', '150.0', '3.0', '1.0', '1.0', '1.0', '3.0', '3.0', '0.0', '0.0', '0.0', '0.0', '0.0']","['g', 'g', 'tbsp', 'tsp', 'tsp', 'tbsp', 'tbsp', '', '', '', '', '', '']",20,76.0,g,4.0,0,12.0,2,4.0,3447,"['bowl', 'colander', 'cutting board', 'knife', '2 frying pans', 'cooking spoon']",20
zartrosa,Community Member,0,749.0,89.0,g,Easy,"Fresh spinach is one of my favorite ingredients as there are so many exciting ways to prepare it, such as this yummy pesto.",Pasta with spinach pesto,32.0,g,18,"['conchiglie', 'spinach', 'Parmesan cheese', 'garlic', 'olive oil', 'sea salt', 'pepper']","['250.0', '150.0', '50.0', '0.5', '3.0', '0.5', '0.0']","['g', 'g', 'g', 'clove', 'tbsp', 'tsp', '']",15,25.0,g,4.5,120,20.0,2,3.0,6051,"['paper towels', 'colander', 'cutting board', 'knife', 'immersion blender', 'liquid measuring cup', 'pot']",135
akbar whillock,Community Member,0,676.0,59.0,g,Medium,,Stir-fried sweet soy chicken,23.0,g,12,"['chicken breasts', 'garlic', 'onion', 'nutmeg', 'bell pepper', 'carrots', 'green beans', 'sesame seeds', 'sweet soy sauce', 'teriyaki sauce', 'soy sauce', 'sesame oil', 'water', 'cilantro', 'chili peppers (optional)', 'starch (optional)', 'salt', 'pepper', 'vegetable oil for frying', 'rice for serving']","['4.0', '6.0', '1.0', '1.0', '1.0', '2.0', '150.0', '2.0', '120.0', '3.0', '2.0', '3.0', '240.0', '15.0', '2.0', '0.0', '0.0', '0.0', '0.0', '0.0']","['cloves', 'tsp', 'g', 'tbsp', 'ml', 'tbsp', 'tbsp', 'tbsp', 'ml', 'g', '', '', '', '', '', '', '', '', '', '']",40,55.0,g,4.5,0,19.0,3,6.0,3851,"['bowl', 'cutting board', 'knife', 'plate', 'wok', 'cooking spoon']",40
Lovevines and Glitter,Community Member,0,354.0,33.0,g,Easy,,Fried fish tacos,5.0,g,0,"['cod', 'non-fat Greek yogurt', 'Sriracha', 'lime (juice', ' divided)', 'cabbage', 'radicchio', 'apple cider vinegar', 'rice flour (divided)', 'sparkling water', 'baking soda', 'dried oregano', 'salt', 'pepper', 'vegetable oil for frying', 'corn tortillas for serving', 'avocado for serving', 'salsa for serving']","['400.0', '3.0', '2.0', '1.0', '0.25', '0.25', '1.0', '160.0', '175.0', '1.0', '2.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']","['g', 'tbsp', 'tsp', 'head', 'head', 'tsp', 'g', 'ml', 'tsp', 'tsp', '', '', '', '', '', '', '']",30,41.0,g,5.0,0,5.0,2,5.0,1031,"['citrus press', 'small bowl', 'bowl', 'cutting board', 'knife', 'whisk', 'frying pan', 'tongs', 'baking sheet', 'aluminum foil', 'wire rack']",30
Lena,Community Member,20,867.0,44.0,g,Easy,This recipe tastes like the wonderful Greek island of Corfu to me!,Honeyed roast potatoes and fennel with goat cheese,64.0,g,1,"['honey', 'potatoes', 'fennel', 'radishes', 'sugar', 'olive oil', 'beer', 'goat cheese (roll)', 'chives for serving (optional)', 'extra olive oil for frying', 'salt']","['1.0', '150.0', '1.0', '2.0', '0.25', '2.0', '1.0', '100.0', '0.0', '0.0', '0.0']","['tbsp', 'g', 'tsp', 'tbsp', 'tbsp', 'g', '', '', '', '', '']",20,27.0,g,4.5,0,4.0,1,4.0,410,"['oven', 'cutting board', 'knife', 'small bowl', 'baking sheet', 'frying pan', 'cooking spoon']",40
Lucy Reim,Community Member,10,1176.0,118.0,g,Easy,Get into the Italian vibe - buon appetito!,Pizza Hawaii with mushrooms,57.0,g,3,"['pizza dough', 'pizza sauce', 'Mozzarella cheese', 'ham', 'button mushrooms', 'pineapple', 'oregano for serving', 'basil for serving', 'flour for dusting']","['200.0', '70.0', '80.0', '3.0', '4.0', '200.0', '0.0', '0.0', '0.0']","['g', 'g', 'g', 'slices', 'g', '', '', '', '']",15,48.0,g,3.0,0,5.0,1,5.0,592,"['baking sheet', 'oven', 'parchment paper', 'rolling pin', 'cutting board', 'knife']",25
Tiffany's,Community Member,0,515.0,12.0,g,Easy,,Miso-marinated salmon with tofu and eggplant,27.0,g,1,"['miso paste', 'salmon fillets', 'silken tofu', 'eggplant', 'water (hot)', 'ginger', 'onion', 'garlic', 'olive oil for frying']","['2.0', '2.0', '300.0', '1.0', '150.0', '20.0', '1.0', '2.0', '0.0']","['tbsp', 'g', 'ml', 'g', 'cloves', '', '', '', '']",25,57.0,g,5.0,0,1.0,2,2.0,496,"['large bowl', 'cutting board', 'knife', 'frying pan', 'cooking spoon']",25
Lukas Härle,Community Member,15,1367.0,73.0,g,Easy,This is my ideal dish when I’m craving a quick dinner. Always delectable!,T-bone steak with garlic baguette,84.0,g,1,"['t-bone steak', 'baguette', 'garlic', 'parsley', 'butter', 'salt', 'pepper', 'olive oil for frying']","['600.0', '1.0', '6.0', '30.0', '150.0', '0.0', '0.0', '0.0']","['g', 'cloves', 'g', 'g', '', '', '', '']",25,80.0,g,3.5,0,4.0,2,5.0,421,"['cutting board', 'knife', 'bowl', 'oven', 'oven rack', 'frying pan', 'spatula']",40
aN,Community Member,0,288.0,9.0,g,Easy,,Schmorgurken (German braised cucumbers with ground beef),17.0,g,2,"['cucumbers', 'ground beef', 'tomato sauce', 'onion', 'tomato paste', 'powdered vegetable broth', 'oil for frying', 'salt', 'pepper']","['2.0', '400.0', '400.0', '1.0', '100.0', '0.0', '0.0', '0.0', '0.0']","['g', 'g', 'g', '', '', '', '', '', '']",30,23.0,g,4.5,0,6.0,4,3.0,976,"['peeler', 'cutting board', 'knife', 'large saucepan', 'spatula']",30
Fraeuleinchen,Community Member,0,751.0,65.0,g,Easy,"If you’re always looking to make a quick and healthy dinner, it makes sense to try the combination of couscous and salmon. It’s quick and easy, tastes great, and makes delicious leftovers. Plus, it’s something way different than the standard pizza or potatoes! Want to see your own recipe published on Kitchen Stories?",Salmon with couscous and zucchini,34.0,g,10,"['salmon fillets', 'couscous', 'zucchini', 'turmeric (divided)', 'coriander (ground', ' divided)', 'water (boiling)', 'onion', 'garlic', 'clarified butter (divided)', 'tomato paste', 'scallions', 'mint', 'parsley', 'sun-dried tomatoes', 'lemon (juice)', 'chili flakes', 'olive oil', 'salt', 'pepper']","['2.0', '150.0', '1.0', '2.0', '2.0', '300.0', '1.0', '2.0', '2.0', '1.0', '2.0', '10.0', '20.0', '40.0', '0.5', '0.0', '0.0', '0.0', '0.0']","['g', 'tsp', 'tsp', 'ml', 'cloves', 'tbsp', 'tbsp', 'g', 'g', 'g', '', '', '', '', '', '', '', '', '']",30,44.0,g,5.0,10,10.0,2,4.0,2294,"['bowl', 'small bowl', 'frying pan', 'cutting board', 'knife', 'spatula']",40
